id,club,nombre,fundacion,direccion,titulos,estadio,detalles,escudo
Aldosivi (MP), Aldosivi (MP),Club Atlético Aldosivi,29 de marzo de 1913,Elcano 3321 - Mar del Plata (Buenos Aires),6 campeonatos de la Liga Marplatense (1973-1974-1975 1989 1993 y 1994),Salvador Tatore Vuoso -ex Adolfo López- (200 espectadores).  En Martínez de Hoz 1800 -Mar del Plata-.,"fue creado por los dueños de la compañía que construyó el puerto de esa ciudad, que se llamaban Allard, Dollfus, Sillard y Viriot, y cuyas dos primeras letras de cada apellido conformaron el nombre. Su camiseta original tenía los colores de Francia, pero cuando tuvieron que recoger las telas donadas por una casa textil se encontraron con que eran amarillas y verdes.  Entre 1993 y 2000 contó con el estadio Adolfo López, aunque actualmente juega en el Estadio José María Minella.  Entre 2009 y 2010 se firmó un trato con la Municipalidad de Gral. Pueyrredón, que le concede el predio Tatore Vuoso por tres décadas, donde construirá su campo.  Jugó los Nacionales de 1974 a 1976.  Hasta 2011 había jugado 10 años en 1° Nacional",https://globopedia.github.io/Rivales-Huracan/Escudos/Aldosivi (MP).png
Argentinos Juniors, Argentinos Juniors,Asociación Atlética Argentinos Juniors,x,x,1 Copa Libertadores (1985), 3 Campeonatos de 1° División (1984-NA85 y CL09),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Argentinos%20Juniors.png
Arsenal,Arsenal,Arsenal Fútbol Club,x,1 Copa Sudamericana (2007) - 1 Campeonato de 1° División (CL12) - 1 Copa Argentina (2013) - 1 Supercopa Argentina (2012),x,x,x,x
Atlanta,Atlanta,Club Atlético Atlanta,x,Copa Suecia 1958,x,x,x,x
Sp. Balcarce,Sp. Balcarce,Club Sportivo Balcarce,x,1 Copa Competencia (1931),x,x,x,x
Banfield, Banfield,Club Atlético Banfield,x,1 Campeonato de 1° División (AP09),x,x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Banfield.png
Sp. Barracas,Sp. Barracas,Club Sportivo Barracas,x,1 Campeonato de 1° División (1932),x,x,x,x
Barracas Central, Barracas Central,Club Atlético Barracas Central,x,x,x,x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Barracas%20Central.png
Belgrano Athletic,Belgrano Athletic,Belgrano Athletic Club,x,3 Campeonatos de 1° División (1899 1904 1908) - 1 Copa Competencia (1900) - 1 Copa de Honor (1907),x,x,x,x
Belgrano (Cba), Belgrano (Cba), Club Atlético Belgrano,19 de marzo de 1905,"Dr. Arturo Orgaz 510 - Alberdi (Córdoba)",31 campeonatos de la Liga Cordobesa (1913-1914 1917 1919-1920 1929-1930-1931-1932-1933 1935-1936-1937 1940 1946-1947 1950 1952 1954-1955 1957 1970-1971 1973 Prov83 1984-Prov84-1985-Prov85 CL2003 y 2013), Julio César Villagra -el Gigante de Alberdi- (30000 espectadores).  Dr. Arturo Orgaz 510 - Barrio Alberdi (Córdoba),lo apodan el 'Pirata'.  Hasta 2017 había participado 16 años en 1° División y 15 en 1° Nacional.  También participó en 10 Nacionales y en la liguilla pre-Libertadoes de 1986,https://globopedia.github.io/Rivales-Huracan/Escudos/Belgrano (Cba).png
Boca Juniors, Boca Juniors, Club Atlético Boca Juniors,3 de abril de 1905,x,6 Copas Libertadores (1977-1978 2000-2001 2003 y 2007) - 2 Copas Sudamericana (2004-2005) - 1 Supercopa (1989) - 36 Campeonatos de 1° División (1919-1920 1923-1924 1926 1930-1931 1934-1935 1940 1943-1944 1954 1962 1964-1965 NA69 NA70 1976-NA76 1981 AP92 AP98-CL99 AP00 AP03 AP05-Cl06 AP08 AP11 2015 16/17-17/18 19/20 y 2022-CO22) - 4 Copas Argentina (1969 2012 2015 y 2020) - Copa Maradona 2020 - 3 Copas Competencia (1919 1925 y 1946) - Campeonato Estímulo 1926 - 1 Copa de Honor (1920) - 2 Supercopas Argentina (2018 y 2022) - 2 Copas Escobar Gerona (1945-1946) - 5 Copas Ibarguren (1919 1923-1924 1940 y 1944),x,x,https://globopedia.github.io/Rivales-Huracan/Escudos/Boca%20Juniors.png
Central Córdoba (Ros),Central Córdoba (Ros), Club Atlético Central Córdoba,x,1 Campeonato Béccar Varela (1933),x,x,x,x
Central Córdoba (SE),Central Córdoba (SE),Club Atlético Central Córdoba,3 de junio de 1919,Saavedra y San Martín - Centro (Santiago del Estero),1 Copa Argentina (2024) - 25 campeonatos de la Liga Santiagueña (1945 1957 1959-1960-1961-1962-1963-1964-1965-1966-1967 1969-1970-1971 1974-1975-1976 1978 1983-1984 AP86 CL95 AP97 AP99 y 2010) y 1 Copa Santiago (2014),x,"creado por miembros del Ferrocarril Belgrano, que antes se llamaba Central Córdoba Railway.  Clasificó para los Nacionales de 1967 y 1971, quedando en las puertas en 1968, por lo que jugó el Promocional.  Hasta 2025 había jugado 9 años en 1° Nacional y 7 en 1° División",https://globopedia.github.io/Rivales-Huracan/Escudos/Central%20C%C3%B3rdoba%20(SE).png
Chacarita Juniors,Chacarita Juniors,Club Atlético Chacarita Juniors,x,1 Campeonato de 1° División (1969),x,x,x,x
Colón (SF),Colón (SF),Club Atlético Colón,x,1 Campeonato de 1° División (CO21),x,x,x,x
